주차장명,전화번호,위도,경도,주소
가덕도동 행정복지센터,051-970-4637,35.05664095,128.8316513,부산광역시 강서구 동선길 10(성북동)
가락동 행정복지센터,051-970-2954,35.19640759,128.9018073,부산광역시 강서구 가락대로 1476(죽림동)
감만창의문화촌,051-634-3415,35.11847034,129.0813474,부산광역시 남구 우암로 84-1(감만동)
감전시장주변,051-310-4515,35.15465447,128.9861427,부산광역시 사상구 감전동 132-7 일원
감전중고차시장주변,051-310-4515,35.15137915,128.9887481,부산광역시 사상구 감전동 156-1 일원
감전중천주변,051-310-4515,35.15409737,128.9770373,부산광역시 사상구 감전동 150-1 일원
감천1동행정복지센터,051-220-5421,35.0880327,129.004651,부산광역시 사하구 감천로117번길 2 (감천동)
감천2동행정복지센터,051-220-5451,35.09460986,129.00936,부산광역시 사하구 옥천로93번길 14 (감천동)
강동동 행정복지센터,051-970-2932,35.21452388,128.9352664,부산광역시 강서구 제도로 1171(강동동)
강서 브라이트센터,051-970-4152,35.18002552,128.9573882,부산광역시 강서구 공항로 811번길 10(대저2동)
강서구청,051-970-4152,35.2121997,128.9805896,부산광역시 강서구 낙동북로 477(대저1동)
강서브라이트센터제2부설,051-970-4152,35.17854538,128.9564816,부산광역시 강서구 공항로 811번가길 30-1(대저2동)
건어물시장,051-600-4556,35.09701127,129.0324438,부산광역시 중구 남포동4가 37-3
광복로 부평동구간,051-600-4556,35.10068943,129.0270939,부산광역시 중구 부평동1가 51-1
괴정1동행정복지센터,051-220-5001,35.09976007,128.989319,부산광역시 사하구 낙동대로250번 안길 3 (괴정동 )
괴정2동행정복지센터,051-220-5031,35.10339784,129.0040281,부산광역시 사하구 까치고개로 14-1 (괴정동)
괴정3동행정복지센터,051-220-5061,35.10033709,128.9980896,부산광역시 사하구 낙동대로171번길 30-5 (괴정동)
괴정4동행정복지센터,051-220-5091,35.09914321,128.9831585,부산광역시 사하구 낙동대로309번길 9 (괴정동)
구평동행정복지센터,051-220-5391,35.08193332,128.9878314,부산광역시 사하구 서포로 48 (구평동)
구포1동주민센터,051-309-6202,35.20646983,129.0011237,부산광역시 북구 낙동대로1762번길 75(구포동)
구포3동주민센터,051-309-6242,35.1949314,129.0087893,부산광역시 북구 시랑로118번길 23(구포동)
국민체육센터,051-365-2073,35.23079749,129.0174181,부산광역시 북구 화명대로94번길 83(화명동)
국제시장로1구간,051-600-4556,35.10058387,129.0278494,부산광역시 중구 신창동4가 56-4
금곡도서관,051-309-6181,35.26323521,129.016714,부산광역시 북구 효열로203번길 34(금곡동)
금곡동주민센터,051-309-6265,35.25008046,129.0128465,부산광역시 북구 금곡대로 466(금곡동)
금정구청,051-519-4161,35.2420498,129.0924585,부산광역시 금정구 중앙대로 1777(부곡동)
기장군청,051-709-4163,35.24347702,129.2229513,부산광역시 기장군 기장읍 기장대로 560
기장읍사무소,051-709-5114,35.23856062,129.2161976,부산광역시 기장군 기장읍 차성동로5번길 10
기후변화체험교육관,051-309-6290,35.23291237,129.0081394,부산광역시 북구 학사로118(화명동)
나사함발달장애인복지관,051-627-8521,35.14133258,129.0890682,부산광역시 남구 못골번영로 70(대연동)
남구국민체육센터,051-607-4934,35.10387725,129.1082028,부산광역시 남구 백운포로 110(용호동)
남구노인복지관,051-628-1291,35.13618392,129.093257,부산광역시 남구 못골로 97-10(대연동)
남구장애인복지관,051-626-6990,35.12923425,129.0992205,부산광역시 남구 조각공원로11번길 38(대연동)
남구청,051-607-4156,35.13650057,129.0841098,부산광역시 남구 못골로 19(대연동)
남부교육지원청,051-640-0315,35.13616401,129.085455,부산광역시 남구 못골로 29(대연동)
남부민1동 주민센터,051-240-6602,35.09274404,129.0233092,부산광역시 서구 충무대로255번길 5-26
녹산동 행정복지센터,051-970-4621,35.15352557,128.8837834,부산광역시 강서구 가락대로 900번가길 32(범방동)
녹산산단공영주차장,051-970-4562,35.08440862,128.8402459,부산광역시 강서구 송정동 1759
다대1동행정복지센터,051-220-5332,35.05917088,128.971332,부산광역시 사하구 다대로530번길 7 (다대동)
다대2동행정복지센터,051-220-5361,35.06355582,128.9820074,부산광역시 사하구 다대로429번길 30 (다대동)
당리동행정복지센터,051-220-5121,35.10293652,128.9766778,부산광역시 사하구 낙동대로 380 (당리동)
대저1동 행정복지센터,051-970-4409,35.21546606,128.9768396,부산광역시 강서구 대저로 221번길 19
대항공영주차장,051-970-4562,35.01202359,128.829829,부산광역시 강서구 대항동 산13-26
덕천1동주민센터,051-309-6362,35.21244258,129.0166616,부산광역시 북구 만덕대로102번가길 11(덕천동)
덕천3동주민센터,051-309-6402,35.20992104,129.0174538,부산광역시 북구 덕천로 118(덕천동)
동구청 부설주차장,051-440-4164,35.12929736,129.045294,부산광역시 동구 구청로 1
동래구청,051-550-4152,35.19649347,129.0935165,부산광역시 동래구 온천천로359번길 70
동래세무서,051-860-2244,35.18406588,129.0801965,부산광역시 연제구 거제천로 269번길 16
동서고가도로밑주변,051-310-4515,35.15248886,129.0028647,부산광역시 사상구 주례동 394 일원
동신운수옆복개공영주차장,051-310-4515,35.1496283,128.9977921,부산광역시 사상구 주례동 1160-53 일원
동영공업주변,051-310-4515,35.14084337,128.9752216,부산광역시 사상구 학장동 748-1 일원
만덕2동주민센터,051-309-6442,35.21018589,129.0372044,부산광역시 북구 만덕2로44번길 10(만덕동)
망미2동 행정복지센터,051-610-5945,35.17531035,129.1152984,부산광역시 수영구 수미로35번길 40
명장1동 행정복지센터,051-550-6548,35.2046977,129.1042463,부산광역시 동래구 명장로32
명지1동 행정복지센터,051-970-4924,35.10816387,128.9263254,부산광역시 강서구 영강길 19번길 58(명지동)
명지2동 행정복지센터,051-970-2988,35.10755847,128.9182342,부산광역시 강서구 명지오션시티 11로 35(명지동)
명지중앙상가 공영주차장,051-970-4562,35.08428631,128.9035414,부산광역시 강서구 명지동 3282
모라1동주민센터주변,051-310-4515,35.19157096,128.9911351,부산광역시 사상구 모라동 1345-6 일원
문화예술회관,051-309-4085,35.21343518,129.0057565,부산광역시 북구 금곡대로 46번길 50(덕천동)
문화예술회관,051-419-5561,35.07526852,129.0668621,부산광역시 영도구 함지로79번길 6
반송2동 주민센터,051-749-5951,35.22884239,129.1604121,부산광역시 해운대구 신반송로 173
반여1동 주민센터,051-749-5901,35.20114644,129.1189355,부산광역시 해운대구 선수촌로85
반여2동 주민센터,051-749-5911,35.19588635,129.1301406,부산광역시 해운대구 재반로211번길 9
반여4동 주민센터,051-749-5931,35.20923985,129.1170917,부산광역시 해운대구 삼어로133번길 50
범어사상마공영주차장,051-519-4516,35.27978938,129.0744768,부산광역시 금정구 청룡동435-19일원
보수 복개천,051-600-4556,35.10293769,129.0245226,부산광역시 중구 부평동3가 80
부산광역시 소방재난본부,051-760-4324,35.18343838,129.1057479,부산광역시 연제구 고분로 216
부산광역시 수영구청,051-610-4101,35.14536623,129.1123652,부산광역시 수영구 남천동로 100(남천동)
부산광역시청,051-888-1867,35.17992893,129.0750915,부산광역시 연제구 중앙대로1001
부산데파트뒤,051-600-4556,35.09887751,129.0355713,부산광역시 중구 동광동1가 50
